,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
403,404,NCT03156153,A Study of Bumetanide for the Treatment of Autism Spectrum Disorders,,Completed,No Results Available,Autism Spectrum Disorder,Drug: Bumetanide|Drug: Placebo,Childhood Autism Rating Scale(CARS)|Clinical Global Impressions Scale (CGI)|Social Responsiveness Scale (SRS)|Autism Diagnostic Observation Schedule (ADOS)|Short Sensory Profile Report|Symbolic Play Test|Chinese Communicative Development Inventory,"Xinhua Hospital, Shanghai Jiao Tong University School of Medicine|Shanghai Jiao Tong University School of Medicine",All,3 Years to 6 Years   (Child),Phase 2,120.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",XH-16-048,2017-05-24,2019-07-08,2019-07-10,2017-05-17,,2021-03-01,"Xinhua Hospital, Shanghai, Shanghai, China",,https://ClinicalTrials.gov/show/NCT03156153
406,407,NCT01706523,Open Label Extension Study of STX209 (Arbaclofen) in Autism Spectrum Disorders,,Terminated,No Results Available,Autism Spectrum Disorders,Drug: STX209 (arbaclofen),Safety and tolerability of STX209|Aberrant Behavior Checklist,"Seaside Therapeutics, Inc.",All,"5 Years to 21 Years   (Child, Adult)",Phase 3,165.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,209AS209,2011-11-01,2013-07-01,2013-07-01,2012-10-15,,2013-07-31,"Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|University of California-Los Angeles Neuropsychiatric Institute, Los Angeles, California, United States|UCDavis M.I.N.D Insitute, Sacramento, California, United States|Pharmax Research Clinic, Miami, Florida, United States|Lake Mary Pediatrics, Orange City, Florida, United States|Institute for Behavioral Medicine, Smyrna, Georgia, United States|Institute for Juvenile Research, Chicago, Illinois, United States|Riley Hospital for Children, Indianapolis, Indiana, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|Boston Children's Hospital, Boston, Massachusetts, United States|University of Massachusetts, Worcester, Massachusetts, United States|University of Missouri, Thompson Research Center for Autism & Neurodevelopmental Disorders, Columbia, Missouri, United States|Seaver Autism Center, Mount Sinai Medical Center, New York, New York, United States|NYS Institute for Basic Research in Developmental Disabilities, Staten Island, New York, United States|UNC Chapel Hill Department of Psychiatry, Chapel Hill, North Carolina, United States|Akron Children's Hospital, Akron, Ohio, United States|Cutting Edge Research, Oklahoma City, Oklahoma, United States|Summit Research Network, Portland, Oregon, United States|Suburban Research Associates, Media, Pennsylvania, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|University of Tennessee Medical Group, LeBonheur Children's Hospital, Memphis, Tennessee, United States|Vanderbilt Kennedy Center, Nashville, Tennessee, United States|Red Oaks Psychiatry Associates, P.A., Houston, Texas, United States|Road Runner Research, San Antonio, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT01706523
407,408,NCT03504917,A Study of Balovaptan in Adults With Autism Spectrum Disorder With a 2-Year Open-Label Extension,,Terminated,Has Results,Autism Spectrum Disorder,Drug: Balovaptan|Drug: Placebo,"Change From Baseline at Week 24 on the Vineland Adaptive Behavior Scales (Vineland-II) Two-domain Composite (2DC) Score.|Change From Baseline at Week 12 on the Vineland-II 2DC Score|Change From Baseline at Weeks 12 and 24 in the Pediatric Quality of Life (PedsQL) Inventory Generic Core Scales, Version 4.0, on Summary and Total Scores|Change From Baseline at Weeks 12 and 24 in the Vineland-II Adaptive Behavior Composite Standard Score|Change From Baseline at Week 12 and 24 on the Vineland-II Socialization Domain Standard Score|Change From Baseline at Weeks 12 and 24 on the Vineland-II Communication Domain Standard Score|Change From Baseline at Weeks 12 and 24 on the Vineland-II Daily Living Skills Domain Standard Score|Change From Baseline in Severity of Clinical Impressions as Measured by Clinical Global Impression-Severity (CGI-S)|Improvements in Clinical Impressions, as Measured by Clinical Global Impression-Improvement (CGI-I)|Change From Baseline at Weeks 12 and 24 in the Hamilton Anxiety Rating Scale (HAM-A) Total and Domain Scores|Proportion of Subjects With a >=6-point Improvement in Vineland-II 2DC Score|Percentage of Participants With Adverse Events",Hoffmann-La Roche,All,"18 Years and older   (Adult, Older Adult)",Phase 3,322.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",WN39434,2018-08-08,2020-03-04,2020-07-01,2018-04-20,2021-05-07,2021-09-23,"Harmonex Neuroscience Research, Dothan, Alabama, United States|Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|Woodland Research Northwest, LLC, Rogers, Arkansas, United States|University of California , Los Angeles (UCLA); Child, Adolescent Psychiatry, Los Angeles, California, United States|PCSD Feighner Research, San Diego, California, United States|University of California at San Francisco, San Francisco, California, United States|MCB Clinical Research Centers, Colorado Springs, Colorado, United States|Yale University / Yale-New Haven Hospital, New Haven, Connecticut, United States|Sarkis Clinical Trials, Gainesville, Florida, United States|APG- Advanced Psychiatric Group, Orlando, Florida, United States|IMIC Inc., Palmetto Bay, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|Uni of Chicago; Centre For Advanced Medicine, Chicago, Illinois, United States|Lake Charles Clinical Trials, LLC, Lake Charles, Louisiana, United States|The Johns Hopkins Hospital, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Minnesota Medical Center-Fairview, Minneapolis, Minnesota, United States|Millennium Psychiatric Associates, LLC, Saint Louis, Missouri, United States|Hapworth Research Inc., New York, New York, United States|Center for Autism and the Developing Brain, New York, New York, United States|Nathan S. Kline Institute for Psychiatric Research, Orangeburg, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|University Hospitals, Cleveland, Ohio, United States|Ohio State University, Columbus, Ohio, United States|Cutting Edge Research Group, Oklahoma City, Oklahoma, United States|UPMC Western Psychiatric Institute and Clinic, Pittsburgh, Pennsylvania, United States|Vanderbilt University Medical Center; Department of Psychiatry, Nashville, Tennessee, United States|BioBehavioral Research of Austin, PC, Austin, Texas, United States|Red Oak Psychiatry Associates, PA, Houston, Texas, United States|Aspen Clinical Research, Orem, Utah, United States|Northwest Clinical Research Center, Bellevue, Washington, United States|Seattle Children's Hospital, Seattle, Washington, United States|Okanagan Clinical Trials, Kelowna, British Columbia, Canada|Holland Bloorview Kids Rehabilitation Hospital; Autism Research Centre, East York, Ontario, Canada|University of Western Ontario, London, Ontario, Canada|McGill University Health Centre - Glen Site, Montreal, Quebec, Canada|Hopital Charles Perrens; Centre de Ressources Autisme Aquitaine, Bordeaux, France|Hospices Civils de Lyon; Centre d'Investigation Clinique Pédiatrique, LYON Cedex, France|Centre hospitalier du Rouvray; CRAHN Centre de Ressources Autisme Haute-Normandie, Sotteville Les Rouen, France|ASST di Pavia; Dip. di Scienze del Sistema Nervoso e del Comportamento, Pavia, Lombardia, Italy|AUSL di Piacenza; Psichiatria di Collegamento, Piacenza, Lombardia, Italy|ASL TO2; Centro Pilota Regione Piemonte - Dip. Salute Mentale, Torino, Piemonte, Italy|A.O.U. Policlinico - V. Emanuele - P.O. Gaspare Rodolico; Dip. Terapia integrata disturbi resistenti, Catania, Sicilia, Italy|Hospital Mutua de Terrassa; Departamento de Psiquiatria, Terrassa, Barcelona, Spain|Hospital Universitari Vall d'Hebron; Sevicio de Psiquiatría, Barcelona, Spain|Hospital General Universitario Gregorio Marañon; Servicio de Psiquiatria del niño y del adolescente, Madrid, Spain|Hospital Universitario Rio Hortega; Departamento de Psiquiatria, Valladolid, Spain|Western General Hospital; Wellcome Trust CRF, Edinburgh, United Kingdom|Queen Elizabeth University Hospital; Clinical Research Facility, Glasgow, United Kingdom|Kings College Hospital; Kings Clinical Research Facility, London, United Kingdom|RE:Cognition Health; RE:Cognition Health, London, United Kingdom","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/17/NCT03504917/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03504917
409,410,NCT01366885,Vitamin D to Prevent Autism in Newborn Siblings,,Completed,Has Results,Autistic Disorder,Drug: Vitamin D3,Number of Children Who Developed Autism|Number of Mothers Who Developed Side Effects From Vitamin D,Oregon Health and Science University,Female,20 Years to 44 Years   (Adult),Phase 2,20.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,OHSU-AS-11-1-11,2008-02-01,2016-02-01,2016-02-01,2011-06-06,2016-06-14,2016-06-14,"Evergreen Center, Oregon City, Oregon, United States",,https://ClinicalTrials.gov/show/NCT01366885
412,413,NCT02561481,Sulforaphane Treatment of Children With Autism Spectrum Disorder (ASD),,Completed,Has Results,Autism Spectrum Disorder,Drug: Sulforaphane|Drug: Placebo,"Change in Ohio Autism Clinical Impressions Scale - Improvement (OACIS-I) Average Score From Baseline|OACIS-I Response Rate on Aberrant Behaviors Subscale|OACIS-I Response Rate on Social Communication Subscale|Change in Total Aberrant Behavior Checklist Score From Baseline|Change in Total SRS-2 Score From Baseline|Dithiocarbamate Plasma Concentration Detected by Cyclocondensation at Each Visit|Comparison of Free Reduced Glutathione (GSH), Total GSH, Oxidized Glutathione (GSSG) at Week 0 and 15|Free GSH:GSSG and Total GSH:GSSG Ratios at Week 15","University of Massachusetts, Worcester|Congressionally Directed Medical Research Programs|Johns Hopkins University",All,3 Years to 12 Years   (Child),Phase 1|Phase 2,60.0,Other|U.S. Fed,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",H00007832|AR140087,2015-12-01,2018-12-01,2020-01-01,2015-09-28,2020-11-25,2020-12-17,"University of Massachusetts Medical School, Worcester, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/81/NCT02561481/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/81/NCT02561481/ICF_001.pdf",https://ClinicalTrials.gov/show/NCT02561481
416,417,NCT00609531,Functional MRI Evaluation of the Effect of Citalopram in Autism Spectrum Disorders,,Completed,No Results Available,Autism Spectrum Disorders,Drug: Citalopram|Drug: Placebo,Functional Magnetic Resonance Imaging|Clinicians Global Improvement Scale|Childrens Yale-Brown Obsessive Compulsive Scale,"University of North Carolina, Chapel Hill|National Institute of Mental Health (NIMH)",All,"10 Years to 55 Years   (Child, Adult)",Phase 1,12.0,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)",04-0975|NIH/NCRR K12 RR023248|The Dana Foundation|K23MH081285,2007-01-01,2009-08-01,2009-08-01,2008-02-07,,2012-10-08,"UNC-Chapel Hill, Chapel Hill, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT00609531
420,421,NCT03664232,"A Study to Investigate the Efficacy, Safety, and Tolerability of JNJ-42165279 in Adolescent and Adult Participants With Autism Spectrum Disorder",Envision,Recruiting,No Results Available,Autism Spectrum Disorder,Drug: JNJ-42165279|Drug: Placebo,Change from Baseline in the Autism Behavior Inventory (ABI) Core Domain Score to Day 85|Change from Baseline in ABI Social Communication Domain Score to Day 85|Change from Baseline in ABI Repetitive/Restrictive Behavior (RRB) Domain Score to Day 85|Change from Baseline in the ABI Mood and Anxiety Domain Score to Day 85|Change from Baseline in the ABI Challenging Behavior Domain Score|Change from Baseline in the ABI Self-Regulation Domain Score|Change from Baseline in the Aberrant Behavior Checklist (ABC) Subscales|Change from Baseline in the Autism Behavior Inventory-Short Form (ABI-S) Scale Domains|Change from Baseline in the Autism Behavior Inventory-Clinician Interview (ABI-C) Domains|Change from Baseline in the Clinical Global Impression-Severity (CGI-S) Scale Score|Change from Baseline in the Repetitive Behavior Scale - Revised (RBS-R) Scale Score|Change from Baseline in the Zarit Burden Interview (ZBI) Scale Score|Change from Baseline in the Child Adolescent Symptom Inventory - Anxiety (CASI-Anx) Scale Score|Change from Baseline in the Social Responsiveness Scale 2 (SRS-2) Score|Change from Baseline in the Caregiver Global Impression of Severity (Caregiver GI-S)|Caregiver Assessment of Treatment Score|Self Global Impression of Improvement (Self GI-I) Score|Clinical Global Impression-Improvement (CGI-I),"Janssen Research & Development, LLC",All,"13 Years to 35 Years   (Child, Adult)",Phase 2,80.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",CR108275|42165279AUT2001,2018-11-07,2022-03-28,2022-06-24,2018-09-10,,2021-09-20,"Harmonex Neuroscience Research, Dothan, Alabama, United States|Southwest Autism Research and Resource Center, Phoenix, Arizona, United States|NRC Research Institute, Orange, California, United States|APG Research, LLC, Orlando, Florida, United States|Lake Charles Clinical Trials, Lake Charles, Louisiana, United States|Sheppard Pratt Health System, Baltimore, Maryland, United States|New York Presbyterian Hospital, New York, New York, United States|Nathan Kline Institute, Orangeburg, New York, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Cutting Edge Research Group, Oklahoma City, Oklahoma, United States|BioBehavioral Research of Austin, PC, Austin, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT03664232
421,422,NCT02551380,Folinic Acid in Children With Autism Spectrum Disorders,EFFET,Unknown status,No Results Available,Autism Spectrum Disorder,Drug: FOLINORAL|Other: Placebo,Evaluation of severity of autistic symptoms with standardized scale ADOS (Autism Diagnosis Observation Scale)|Evaluation of the reduction of autistic symptom perceived by parents with a heteroevaluation scale : SRS (social responsiveness scale)|evaluate the constancy of auto antibodies anti-FRα,"Central Hospital, Nancy, France",All,3 Years to 10 Years   (Child),Phase 2,40.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,2015-000955-25,2015-10-01,2018-01-01,2018-01-01,2015-09-16,,2017-04-07,"CHU Nancy-Hopital Brabois Enfants, Vandoeuvre les Nancy, France",,https://ClinicalTrials.gov/show/NCT02551380
430,431,NCT01028820,FMRI Brain Activation of Aripiprazole Treatment in Autism Spectrum Disorders,AripfMRI,Completed,Has Results,Autism Spectrum Disorder,Drug: Aripiprazole,Baseline and Week 8scores on Children's Yale-Brown Obsessive Compulsive Scale - Pervasive Developmental Disorder Version|Total Repetitive Behavior Scale - Revised (RBS_R),"University of North Carolina, Chapel Hill|Duke University|National Institute of Mental Health (NIMH)",All,"10 Years to 55 Years   (Child, Adult)",Phase 4,13.0,Other|NIH,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,090795|K23MH081285,2009-08-01,2011-01-01,2011-01-01,2009-12-09,2014-03-11,2014-03-11,"University of North Carolina, Chapel Hill, North Carolina, United States|Duke University Medical Center, Durham, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT01028820
433,434,NCT02487082,Pilot Study of Sleep Therapy and Biomarkers in Children With Autism Spectrum Disorders,,Terminated,No Results Available,Autism Spectrum Disorder,Drug: Melatonin and Donepezil|Other: Placebo,Lethargy/Social Withdrawal|Stereotypic Behavior|Sleep quality|Clinician Global improvement|Parent Global improvement,Stony Brook University,All,4 Years to 17 Years   (Child),Phase 2,12.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",65708,2015-06-01,2020-12-31,2021-01-29,2015-07-01,,2021-04-28,"Stony Brook University, Stony Brook, New York, United States",,https://ClinicalTrials.gov/show/NCT02487082
434,435,NCT01308749,A Study of Oxytocin in Children and Adolescents With Autistic Disorder,Oxytocin,Completed,Has Results,Autism,Drug: Oxytocin|Drug: Placebo,Number of Participants Who Could Tolerate Twice Daily Oxytocin|Change in Mean Plasma Oxytocin Level During Period 1 - Double Blind Phase|Change in Mean Weight|Change in Mean Total Social Social Responsiveness Scale (SRS) T-score|Change in Mean Autism Diagnostic Observation Schedule (ADOS) Total Score|Change in Mean Aberrant Behavior Checklist (ABC)-Social Withdrawal Subscale Score Over Both Periods|Change in Mean Pervasive Developmental Disorder Behavior Inventory - Screening Version (PDDBI-SV) Total Score Over Both Periods|Change in Mean Systolic Blood Pressure During Period 1|Mean Change in Prolactin Levels Over Period 1|Mean Change in Temperature During Period 1,"University of North Carolina, Chapel Hill|Autism Speaks",All,3 Years to 17 Years   (Child),Phase 2,25.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",11-0493,2011-03-01,2013-04-01,2013-04-01,2011-03-04,2017-07-17,2017-07-17,"University of North Carolina Chapel Hill, Chapel Hill, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT01308749
447,448,NCT04895215,AB-2004 in Treatment of Adolescents With Irritability Associated With Autism Spectrum Disorder (ASD),,Recruiting,No Results Available,Autism Spectrum Disorder (ASD),Drug: AB-2004|Drug: Placebo,The mean change in the ABC-I score (Irritability) from Baseline to Week 8 for AB-2004 High Dose|The mean change in the ABC-I score (Irritability) from Baseline to Week 8 for AB-2004 Low Dose|The mean change in the Clinical Global Impression-Severity (CGI-S) from Baseline to Week 8 for AB-2004 High Dose and AB-2004 Low Dose|Number of participants who reported treatment emergent adverse events (TEAEs),"Axial Therapeutics, Inc.",All,13 Years to 17 Years   (Child),Phase 2,195.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",AXL-2004-002,2021-08-02,2022-12-01,2023-06-01,2021-05-20,,2021-08-20,"Axial Therapeutics, Woburn, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT04895215
449,450,NCT02901431,A Study to Investigate the Efficacy and Safety of Balovaptan (RO5285119) in Participants With Autism Spectrum Disorder (ASD),,Terminated,Has Results,Autism Spectrum Disorder,Drug: Placebo|Drug: RO5285119,"Change From Baseline in Vineland™-II Adaptive Behavior Scale Two Domain Composite (2DC) Score at Week 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Vineland™-II Composite Standard Score After 12 Weeks and 24 Weeks of Treatment for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Vineland™-II Adaptive Behavior Scale Communication, Socialization, and Daily Living Skills Domain Standard Scores at Weeks 12 and 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Proportion of Subjects With >=6 Points Improvement in the Vineland-II 2DC Score for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Clinical Global Impressions-Severity (CGI-S) Score at Weeks 12 and 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Ohio Autism Clinical Impressions Scale-Severity (OACIS-S) Score at Weeks 12 and 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Clinical Global Impressions- Improvement (CGI-I) Score at Weeks 12 and 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Ohio Autism Clinical Impressions Scale- Improvement (OACIS-I) Score at Weeks 12 and 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Patient-Reported Pediatric Quality of Life (PedsQL) v4.0 Generic Core Scale After 12 Weeks and 24 Weeks of Treatment for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Vineland-II Composite Standard Score in Adolescents and Children Independently at Weeks 12 and 24 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Change From Baseline in Vineland-II Adaptive Behavior Scale 2DC Score at Week 12 for Balovaptan (R05285119) 10 mg Equivalent Compared to Placebo|Percentage of Participants With Adverse Events for Treatment With Balovaptan",Hoffmann-La Roche,All,5 Years to 17 Years   (Child),Phase 2,339.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",BP30153,2016-11-21,2020-04-15,2020-06-30,2016-09-15,2021-02-08,2021-02-08,"Harmonex Neuroscience Research, Dothan, Alabama, United States|Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|NRC Research Institute, Orange, California, United States|PCSD Feighner Research, San Diego, California, United States|University of California at San Francisco, San Francisco, California, United States|Children's Hospital of Colorado, Aurora, Colorado, United States|DBA IMMUNOe Int'l Res Center, Centennial, Colorado, United States|Yale University / Yale-New Haven Hospital, New Haven, Connecticut, United States|Sarkis Clinical Trials, Gainesville, Florida, United States|Segal trials, North Miami, Florida, United States|Medical Research Group of Central Florida, Orange City, Florida, United States|APG- Advanced Psychiatric Group, Orlando, Florida, United States|USF Rothman Center, Saint Petersburg, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|Capstone Clinical Research, Libertyville, Illinois, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Boston Childrens Hospital, Boston, Massachusetts, United States|Massachusetts General Hospital; Lurie Center for Autism, Lexington, Massachusetts, United States|UMASS Medical School, Worcester, Massachusetts, United States|University of Minnesota; Clin. Neuro Research Unit, Minneapolis, Minnesota, United States|St. Charles Psychiatric Associates, Saint Charles, Missouri, United States|Midwest Childrens Health Research Institute, Lincoln, Nebraska, United States|Albert Einstein College of Medicine, Bronx, New York, United States|Center for Autism and the Developing Brain, New York, New York, United States|Nathan S. Kline Institute for Psychiatric Research, Orangeburg, New York, United States|University of Rochester, Rochester, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|DUKE SCHOOL OF MEDICINE;Duke Center for Autism and Brain Development, Durham, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|University Hospitals, Cleveland, Ohio, United States|Ohio State University, Columbus, Ohio, United States|Cutting Edge Research Group, Oklahoma City, Oklahoma, United States|Suburban Research Associates, Media, Pennsylvania, United States|Children's Hospital of Philadelphia;Allergy/Immunology Department, Philadelphia, Pennsylvania, United States|UPMC Western Psychiatric Institute and Clinic, Pittsburgh, Pennsylvania, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|BioBehavioral Research of Austin, PC, Austin, Texas, United States|Relaro Medical Trials, Dallas, Texas, United States|Red Oak Psychiatry Associates, PA, Houston, Texas, United States|Road Runner Research, San Antonio, Texas, United States|Northwest Clinical Research Center, Bellevue, Washington, United States|Pacific Institute of Medical Sciences, Bothell, Washington, United States|Core Clinical Research, Everett, Washington, United States|Seattle Children's Research Institute; Psychiatry and Behavioral Medicine, Seattle, Washington, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT02901431/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT02901431/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT02901431
452,453,NCT02176317,Autologous Umbilical Cord Blood Infusion for Children With Autism Spectrum Disorder (ASD),,Completed,No Results Available,Autism Spectrum Disorder,Biological: Autologous Umbilical Cord Blood,Number of participants with non-serious and serious adverse events.|The primary efficacy measure will be change in the Vineland Adaptive Behavior Scale- II,"Duke University|The Marcus Foundation|PerkinElmer, Inc.",All,24 Months to 72 Months   (Child),Phase 1,25.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Pro00052449,2014-06-01,2015-12-01,2015-12-01,2014-06-27,,2019-12-03,"Duke University Medical Center, Durham, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT02176317
456,457,NCT05013164,Role of Folinic Acid in Improving the Adaptive Skills and Language Impairment in Children With Autism Spectrum Disorder,,Completed,No Results Available,Autism Spectrum Disorder,Drug: Folinic Acid,To determine the role of folinic acid in improving the speech and adaptive skills among children with autism spectrum disorders|To dertermine improvement of stereotype movements and hyperactivity in children with autism spectrum disorders,Nishtar Medical University,All,3 Years to 14 Years   (Child),Phase 2,44.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ICHMultan,2020-10-01,2021-03-30,2021-03-30,2021-08-19,,2021-08-24,"Children's Hospital and Institute of Child Health, Multan, Punjab, Pakistan",,https://ClinicalTrials.gov/show/NCT05013164
462,463,NCT02081027,Pilot Study of Riluzole for Drug-Refractory Irritability in Autism Spectrum Disorders,,Completed,No Results Available,Autism Spectrum Disorders,Drug: Riluzole|Other: placebo,Clinical Global Impression-Improvement|Aberrant Behavior Checklist- Irritability,"Children's Hospital Medical Center, Cincinnati",All,"12 Years to 25 Years   (Child, Adult)",Early Phase 1,8.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Basic Science",CIN001- Riluzole in Autism,2013-09-19,2015-04-01,2015-05-01,2014-03-07,,2021-01-14,"Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States",,https://ClinicalTrials.gov/show/NCT02081027
466,467,NCT00846547,Open-Label Study of the Safety and Tolerability of STX209 in Subjects With Autism Spectrum Disorders,,Completed,Has Results,Autism Spectrum Disorders,Drug: Arbaclofen,"Irritability Subscale of the Aberrant Behavior Checklist, Community Version","Seaside Therapeutics, Inc.",All,6 Years to 17 Years   (Child),Phase 2,32.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,22003,2009-02-01,2010-06-01,2010-09-01,2009-02-18,2013-06-14,2013-06-14,"Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|University of California-Los Angeles Neuropsychiatric Institute, Los Angeles, California, United States|Yale Child Study Center, New Haven, Connecticut, United States|Riley Hospital for Children, Indianapolis, Indiana, United States|University of North Carolina Neurosciences Hospital, Chapel Hill, North Carolina, United States|Vanderbilt Kennedy Center, Nashville, Tennessee, United States|Red Oaks Psychiatry Associates, PA, Houston, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT00846547
468,469,NCT02414503,Effects of Intranasal Administration of a Single Dose of Oxytocin Using a Novel Device in Adults With Autism Spectrum Disorder,,Completed,No Results Available,Autism Spectrum Disorder,Drug: 8IU intranasal oxytocin|Drug: 24IU intranasal oxytocin|Drug: Placebo|Device: OptiNose Breath Powered Bi,Performance on an emotion sensitivity test|Performance on a facial emotion morphing task|Performance on the reading the mind in the eyes test|Performance on an emotional dot probe task|Heart rate variability|Eyetracking,OptiNose AS|Oslo University Hospital|University of Oslo,Male,18 Years to 35 Years   (Adult),Phase 1|Phase 2,17.0,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science",SMR-2728|2014-005452-26,2015-04-01,2016-02-01,2016-02-01,2015-04-10,,2016-09-27,"NORMENT, KG Jebsen Centre for Psychosis Research - TOP Study, Oslo, Norway",,https://ClinicalTrials.gov/show/NCT02414503
