"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
297,"NCT04274127","Early Screening of Autism Spectrum Disorder in General and Pediatric Practices","KitCAT","Recruiting","No Results Available","Autism Spectrum Disorder","Diagnostic Test: early detection kit composed of 2 questionnaires (M-CHAT-R + CSBS-ITC)","number of children with a confirmed ASD diagnosis","Hôpital le Vinatier","All","16 Months to 24 Months   (Child)","Not Applicable","1700","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","2015-A00823-46","April 9, 2018","January 2024","January 2024","February 18, 2020",,"August 9, 2021","Centre Hospitalier Le Vinatier, Bron, Rhône, France",,"https://ClinicalTrials.gov/show/NCT04274127"
298,"NCT04706364","Investigation of Brain Plasticity in Autism Spectrum Disorders",,"Recruiting","No Results Available","Autism Spectrum Disorder","Behavioral: Neuropsychological Testing|Genetic: (Optional) Saliva Collection|Device: Sensory Testing|Device: Electroencephalogram (EEG)|Device: Transcranial Magnetic Stimulation","Textured novel object recognition test (NORT) and mechanical detection threshold (MDT) with von Frey hairs|Somatosensory temporal discrimination threshold (STDT) and PAS-induced modulation of motor-evoked potentials (MEPs)","Boston Children's Hospital|National Institute of Mental Health (NIMH)|Simons Foundation Autism Research Initiative (SFARI)","All","6 Years to 18 Years   (Child, Adult)",,"60","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","IRB-P00027556|R21MH120438","June 10, 2019","May 2022","May 2022","January 12, 2021",,"February 21, 2021","Boston Children's Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04706364"
299,"NCT03338530","Efficacy of a Comprehensive School-based Intervention for High-functioning Children With Autism Spectrum Disorder",,"Completed","No Results Available","Autism Spectrum Disorder","Behavioral: Comprehensive School-Based Intervention","Change from Baseline Cambridge Mindreading Face-Voice Battery for Children (CAM-C) Scores at Follow-up|Change from Baseline Social Responsiveness Scale, 2nd Edition, School Age Form (SRS-2) Scores at Follow-up|Change from Baseline Adapted Skillstreaming Checklist (ASC) Scores at Follow-up|Change from Baseline Woodcock-Johnson III Tests of Achievement (WJ III ACH) Scores at Follow-up|Change from Baseline Social Interaction Observation Scale (SIOS) Scores at Follow-up","Canisius College|U.S. Department of Education","All","6 Years to 12 Years   (Child)","Not Applicable","103","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","2012-13#142RENEWAL-Ammend","August 1, 2013","July 31, 2017","July 31, 2017","November 9, 2017",,"November 9, 2017",,,"https://ClinicalTrials.gov/show/NCT03338530"
300,"NCT04498078","Creatine Supplementation in Autism Spectrum Disorder","CREATOR","Active, not recruiting","No Results Available","Autism Spectrum Disorder","Dietary Supplement: Creatine","Brain creatine change|Brain N-acetylaspartate change|Autism Treatment Evaluation Checklist (ATEC) score","University of Novi Sad, Faculty of Sport and Physical Education","All","10 Years and older   (Child, Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","ABL-21-AUCR","January 15, 2021","January 15, 2022","February 14, 2022","August 4, 2020",,"April 28, 2021","FSPE Applied Bioenergetics Lab, Novi Sad, Vojvodina, Serbia",,"https://ClinicalTrials.gov/show/NCT04498078"
301,"NCT05045339","Ball Exercises and Stereotypic Behavior in Autism Spectrum Disorder",,"Completed","No Results Available","Autism Spectrum Disorder","Procedure: Ball Exercises","Stereotypic Behaviors","University of Faisalabad","All","4 Years to 16 Years   (Child)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","TUF/DR/DPT/157","February 6, 2018","April 20, 2018","May 28, 2018","September 16, 2021",,"October 6, 2021","The University of Faisalabad, Faisalābad, Punjab, Pakistan",,"https://ClinicalTrials.gov/show/NCT05045339"
302,"NCT04651972","Measurement of vanilloïd Compounds in Urin of Autistic vs Control Patients, as Potential Biomarkers","DIADAUVEDA","Not yet recruiting","No Results Available","Autism Spectrum Disorder",,"measurements of vanilloid compound in urins","Central Hospital, Nancy, France","Male","2 Years to 14 Years   (Child)",,"140","Other","Observational","Observational Model: Case-Control|Time Perspective: Other","2020PI116","December 15, 2020","July 30, 2022","July 30, 2022","December 3, 2020",,"December 3, 2020",,,"https://ClinicalTrials.gov/show/NCT04651972"
303,"NCT04010409","Mindreading in Adults With Autism Spectrum Disorder",,"Unknown status","No Results Available","Autism Spectrum Disorder","Other: no intervention","eye tracking indicators","National Taiwan University Hospital","All","20 Years to 50 Years   (Adult)",,"60","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","201809069RINA","January 8, 2019","November 2019","November 2019","July 8, 2019",,"July 8, 2019","National Taiwan University Hospital, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT04010409"
304,"NCT05063656","Biomarker-Driven Pharmacological Treatment of Adolescents With Autism Spectrum Disorder With Gabapentin",,"Not yet recruiting","No Results Available","Autism Spectrum Disorder","Drug: Gabapentin","Right Anterior Insula GABA level","David Cochran|Eagles Autism Foundation|University of Massachusetts, Worcester","All","13 Years to 17 Years   (Child)","Phase 4","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Gabapentin ASD Trial","November 2021","November 2023","November 2023","October 1, 2021",,"October 1, 2021","University of Massachusetts Medical School, Worcester, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT05063656"
305,"NCT00036231","Synthetic Human Secretin in Children With Autism and Gastrointestinal Dysfunction",,"Terminated","No Results Available","Autism","Drug: RG1068 (Synthetic Human Secretin)",,"Repligen Corporation","All","32 Months to 59 Months   (Child)","Phase 3",,"Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double|Primary Purpose: Treatment","RG1068-03","April 2002",,,"May 9, 2002",,"November 21, 2005",,,"https://ClinicalTrials.gov/show/NCT00036231"
306,"NCT05067582","A 12-Week Crossover Study to Assess the Efficacy, Safety and Tolerability of L1-79 in Subjects Aged 12-21 Years With Autism Spectrum Disorder",,"Not yet recruiting","No Results Available","Autism Spectrum Disorder|Autism","Drug: L1-79","Vineland Adaptive Behavior Scale, Third Edition (Vineland-3), Average of the Growth Scale Value (GSV) score of the three Socialization Subdomains (combined)|Brief Observation of Social Communication Change (BOSCC)|Clinical Global Impression of Severity of Illness (CGI-S) weighted for socialization|Clinical Global Impression of Change (CGI-C) weighted for socialization|Percent of subjects showing a statistically significant improvement in GSV on 2 of the Socialization Subdomains|Caregiver Global Impression of Change of 3 Most Bothersome Symptoms of ASD (CGI-3P)|Social Responsiveness Scale, Second Edition (SRS-2) Social-Communication and Interaction - DSM-5 Composite T-score|Social Responsiveness Scale, Second Edition (SRS-2) Total T-score|Social Responsiveness Scale, Second Edition (SRS-2) Social Motivation T-score|Vineland-3 Socialization Domain, Standard Score|Parent-rated Anxiety Scale for ASD (PRAS-ASD)|Child's Sleep Habits Questionnaire (CSHQ)","Yamo Pharmaceuticals LLC","All","12 Years to 21 Years   (Child, Adult)","Phase 2","50","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Y202","October 2021","February 2023","March 2023","October 5, 2021",,"October 5, 2021",,,"https://ClinicalTrials.gov/show/NCT05067582"
307,"NCT00695812","The Development of Younger Siblings of Children With Autism Now at 10 Years of Age",,"Unknown status","No Results Available","Autism Spectrum Disorders",,,"Shaare Zedek Medical Center|Hebrew University of Jerusalem","All","10 Years to 11 Years   (Child)",,"104","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Siblings Autism.ctil","September 2008","September 2011","September 2011","June 12, 2008",,"June 12, 2008",,,"https://ClinicalTrials.gov/show/NCT00695812"
308,"NCT01962870","The Role of Vasopressin in the Social Deficits of Autism",,"Completed","Has Results","Autism Spectrum Disorders","Drug: Vasopressin|Drug: Placebo","Change From Baseline in Parent Rated Social Responsiveness Scale, 2nd Edition (SRS-2) T-Score After Treatment.|Change From Baseline in Clinical Global Impression (CGI) Severity, Social and Communication Scores During Treatment.|Change From Baseline in Reading the Mind in the Eyes Test, Child Version (RMET-child) Scores During Treatment.|Change From Baseline in Laboratory Based Facial Emotion Recognition Abilities During Treatment.|Change From Baseline in Parent Rated Repetitive Behavior Scale Revised (RBS-R) Scores During Treatment.|Change From Baseline in Parent Rated Spence Children's Anxiety Scale (SCAS) During Treatment.|Number of Participants With Side Effects Assessed Using Parent Rated Dosage Record Treatment Emergent Symptom Scale (DOTES) Scores During Treatment|Change From Baseline on the Overt Aggression Scale (OAS) During Treatment.|Change From Baseline in Heart Rate After Treatment.|Change From Baseline in Parent Rated Aberrant Behavior Checklist (ABC) Scores During Treatment.|Change From Baseline in Parent Rated Pediatric Quality of Life (PedQL) Inventory Scores During Treatment.|Change From Baseline in Parent Rated Vineland Adaptive Behavior Scales Second Edition (VABS-II) - Social and Communication Subscales During Treatment.|Change From Baseline in Clinical Chemistry Labs (NA+, K+, Cl-) During Treatment.|Change From Baseline in Laboratory Based Eye-gaze to Social Cues During Treatment.|Change From Baseline in Laboratory Based Social Mimicry Abilities During Treatment.|Change From Baseline in Blood Pressure After Treatment|Change From Baseline in Body Weight After Treatment.|Change From Baseline in Body Temperature After Treatment|Change From Baseline in the Awareness of Social Inference Test Revised (TASIT-R) Scores During Treatment.|Change From Baseline in a Developmental Neuropsychological Assessment, Second Edition. (NEPSY-II) Affect Recognition Scores During Treatment.|Change From Baseline in Plasma Vasopressin Levels During Treatment.","Stanford University|National Institute of Mental Health (NIMH)","All","6 Years to 12 Years   (Child)","Phase 2","68","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","IRB-26034|R21MH100387-01","December 2013","May 30, 2017","May 30, 2017","October 14, 2013","May 24, 2019","May 24, 2019","Stanford University School of Medicine; Psychiatry and Behavioral Sciences, Stanford, California, United States","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/70/NCT01962870/SAP_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/70/NCT01962870/Prot_001.pdf","https://ClinicalTrials.gov/show/NCT01962870"
309,"NCT04719923","Dietetic Pattern in Children With Autism Spectrum Disorders",,"Completed","No Results Available","Autism Spectrum Disorder","Behavioral: Children with autism spectrum disorders","Adverse food reactions|Eating habits|Nutritional status|Composition of gut microbiota|Function of gut microbiota","Federico II University","All","18 Months to 7 Years   (Child)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","312/17","October 1, 2017","October 1, 2020","October 1, 2020","January 22, 2021",,"January 22, 2021","University of Naples Federico II, Naples, Italy",,"https://ClinicalTrials.gov/show/NCT04719923"
310,"NCT01850459","Extracellular Signal-Related Kinase Biomarker Development in Autism","ERK","Completed","No Results Available","Autism Spectrum Disorders",,"ERK activation","Children's Hospital Medical Center, Cincinnati","All","3 Years to 25 Years   (Child, Adult)",,"213","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","CIN001- ERK in Autism","January 2013","August 2015","August 2015","May 9, 2013",,"April 19, 2017","Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT01850459"
311,"NCT04442061","Autism Spectrum Disorders: Double Blind Randomized Placebo-control Active Pilot Study of Transcranial Magnetic Stimulation Applied to the Superior Temporal Sulcus","STIMAUT","Not yet recruiting","No Results Available","Autism Spectrum Disorders","Device: Transcranial magnetic stimulation|Device: MRI|Device: Neuronavigation|Device: Eye-tracking|Genetic: Salivary samples|Other: Clinical scales","Changes gaze pattern to the eyes|Autistic Behavior Checklist (ABC) scale at v1|Autistic Behavior Checklist (ABC) scale at v2|Autistic Behavior Checklist (ABC) scale at v3|Autistic Behavior Checklist (ABC) scale at v4|""Evaluation des comportements Autistiques révisée"" (ECA-R) scale at v1|""Evaluation des comportements Autistiques révisée""(ECA-R) scale at v2|""Evaluation des comportements Autistiques révisée"" (ECA-R) scale at v3|""Evaluation des comportements Autistiques révisée"" (ECA-R) scale at v4|Clinical Global Impression (CGI) scale at v1|Clinical Global Impression (CGI) scale at v2|Clinical Global Impression (CGI) scale at v3|Clinical Global Impression (CGI) scale at v4|Changes in rest brain fonctionning at v1|Changes in rest brain fonctioning at v2|Changes in rest brain fonctioning at v3|Changes in rest brain fonctioning at v4|BDNF/COMT polymorphisms","Assistance Publique - Hôpitaux de Paris|Fondation de France|Fondation Malakoff Médéric","Male","18 Years to 25 Years   (Adult)","Phase 2","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","APHP191009","October 2021","January 2024","June 2024","June 22, 2020",,"September 23, 2021","Hôpital Necker Enfants Malades - Service de radiologie pédiatrique, Paris, France",,"https://ClinicalTrials.gov/show/NCT04442061"
312,"NCT04358744","The Real World Study of Autism Spectrum Disorder in China",,"Recruiting","No Results Available","Autism Spectrum Disorder",,"Behaviour assessment","Xinhua Hospital, Shanghai Jiao Tong University School of Medicine","All","18 Months to 18 Years   (Child, Adult)",,"2500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","XH-20-005","April 13, 2019","September 2024","September 2024","April 24, 2020",,"June 16, 2020","ShanghaiXinhua, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04358744"
313,"NCT01197131","Urinary Steroid Metabolites in Autism",,"Unknown status","No Results Available","Autism|Autism Spectrum Disorder",,"difference in hormone formation and androgen precursors|difference in hormone formation in gender and age","Intersci Research Association, Austria","All","5 Years to 15 Years   (Child)",,"160","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","protocol 1.0/18/06/2010","September 2010","July 2011","April 2019","September 9, 2010",,"February 19, 2019","Intersci Research Association, Leibnitz, Steiermark, Austria",,"https://ClinicalTrials.gov/show/NCT01197131"
314,"NCT03369431","Efficacy of Vivomixx on Behaviour and Gut Function in Autism Spectrum Disorder","VIVO-ASD","Completed","No Results Available","Autism Spectrum Disorder","Dietary Supplement: Vivomixx|Dietary Supplement: Placebo","A change in the Autism Treatment Evaluation Checklist (ATEC) total score compared to baseline.|A change in the frequency of gastrointestinal symptoms compared to baseline, as measured by the Gastrointestinal History (GIH) questionnaire.|A change in the Aberrant Behaviour Checklist (ABC) total score compared to baseline.|A change in the Autism Parenting Stress Index (APSI) score compared to baseline.","University College, London","All","3 Years to 16 Years   (Child)","Not Applicable","69","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","17/0148","February 1, 2018","October 2, 2020","January 29, 2021","December 12, 2017",,"April 29, 2021","University College Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03369431"
315,"NCT04798274","Role of GABAergic Transmission in Auditory Processing in Autism Spectrum Disorder",,"Recruiting","No Results Available","Autism Spectrum Disorder","Device: Transcranial Magnetic Stimulation","MEG|MRS|DTI|fcMRI|Behavioral Measures","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","14 Years to 25 Years   (Child, Adult)","Not Applicable","106","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","200159|20-M-0159","June 15, 2021","June 1, 2023","June 1, 2023","March 15, 2021",,"September 29, 2021","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04798274"
316,"NCT02617342","Robot-Mediated Intervention for Children With Autism Spectrum Disorders",,"Active, not recruiting","No Results Available","Autism Spectrum Disorder","Behavioral: Robot-mediated Intervention","Change in baseline emotions accurately identified on the Transporters Quiz|Change in baseline Social Responsiveness Scale Score|Number of prompt-free intervals during the treatment sessions|Change in baseline parent report of child's emotion recognition","Hugo W. Moser Research Institute at Kennedy Krieger, Inc.|Aetna, Inc.","All","4 Years to 8 Years   (Child)","Not Applicable","40","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00067744","November 2015","March 2022","March 2022","November 30, 2015",,"March 10, 2021","Kennedy Krieger Institute, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02617342"
317,"NCT05038748","A Pilot Study of Microbiome in Patients With Autism Spectrum Disorder and Their Unaffected Siblings",,"Completed","No Results Available","Autism Spectrum Disorder","Other: Psychiatric diagnosis|Other: ASD diagnosis","Autism Diagnostic Interview-Revised (ADI-R)|Autism Diagnostic Observation Scale (ADOS)","National Taiwan University Hospital","All","7 Years to 25 Years   (Child, Adult)",,"150","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","201810048RIND","January 1, 2019","December 31, 2020","December 31, 2020","September 9, 2021",,"September 16, 2021","National Taiwan Univeristy Hospital, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT05038748"
318,"NCT04936009","Transcranial Magnetic Stimulation (TMS) Study for Adults With Autism Spectrum Disorder (ASD)",,"Not yet recruiting","No Results Available","Autism Spectrum Disorder","Behavioral: Transcranial Magnetic Stimulation (TMS)","right hemisphere N170 latency|proportion of visual attention to the eye region of the face","Yale University|United States Department of Defense","All","18 Years to 30 Years   (Adult)","Not Applicable","60","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","2000030576|Proposal No. AR200174","September 1, 2021","July 1, 2024","July 1, 2024","June 23, 2021",,"August 24, 2021","Yale University Child Study Center, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT04936009"
319,"NCT04446442","Cerebellar tDCS in Children With Autism Spectrum Disorder",,"Recruiting","No Results Available","Autism Spectrum Disorder","Device: tDCS","Incidence of tDCS associated side effects assessed by tDCS Safety Assessment|Change in Autism Spectrum Disorder Symptoms assessed by NEPSY-2 Subtests|Change in Autism Spectrum Disorder Symptoms assessed by Reading the Mind in the Eyes|Change in Autism Spectrum Disorder Symptoms assessed by Triangle Animations/Social Perception Task|Change in Autism Spectrum Disorder Symptoms assessed by Cyberball/Social Ball Throwing Task|Change in Autism Spectrum Disorder Symptoms assessed by Dimensional Change Card Sort|Change in Autism Spectrum Disorder Symptoms assessed by Autism Spectrum Rating Scale","University of Texas Southwestern Medical Center|United States Department of Defense","All","4 Years to 17 Years   (Child)","Not Applicable","60","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Other","UTSW 022017-071","June 4, 2019","December 2023","July 2024","June 25, 2020",,"June 23, 2021","Children's Medical Center, Dallas, Texas, United States|University of Texas Southwestern, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04446442"
320,"NCT03625999","A Novel Intervention for Training Auditory Attention in Adolescents With Autism Spectrum Disorder",,"Withdrawn","No Results Available","Autism Spectrum Disorder|Autism","Behavioral: video game training exercise","Child Behavioral Assessment: ADOS|Child Behavioral Assessment: Leiter-3|Child Behavioral Assessment: PPVT-5|Child Behavioral Assessment: EVT-3|Parent Questionnaire: SCQ|Parent Questionnaire: VABS-3|Parent Questionnaire: RBS-R|Parent Questionnaire: SSP|Parent Questionnaire: CASI-5|Post-test EEG","Boston University Charles River Campus|Carnegie Mellon University","All","13 Years to 20 Years   (Child, Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Basic Science","4875E","August 1, 2021","September 30, 2021","September 30, 2021","August 10, 2018",,"April 9, 2021","Center for Autism Research Excellence, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT03625999"
321,"NCT01288716","Study of Arbaclofen for the Treatment of Social Withdrawal in Subjects With Autism Spectrum Disorders",,"Completed","No Results Available","Autism Spectrum Disorders","Drug: Arbaclofen","Aberrant Behavior Checklist-Social Withdrawal Subscale","Seaside Therapeutics, Inc.","All","5 Years to 21 Years   (Child, Adult)","Phase 2","150","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","209AS208","May 2011","August 2012","September 2012","February 2, 2011",,"July 31, 2013","Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|University of California-Los Angeles Neuropsychiatric Institute, Los Angeles, California, United States|University of California-Davis, M.I.N.D. Institute, Sacramento, California, United States|Pharmax Research Clinic, Miami, Florida, United States|Lake Mary Pediatrics, Orange City, Florida, United States|Institute for Behavioral Medicine, Smyrna, Georgia, United States|Institute for Juvenile Research, Chicago, Illinois, United States|Riley Hospital for Children, Indianapolis, Indiana, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|Boston Children's Hospital, Boston, Massachusetts, United States|University of Massachusetts, Worcester, Massachusetts, United States|University of Missouri, Thompson Research Center for Autism & Neurodevelpmental Disorders, Columbia, Missouri, United States|Seaver Autism Center, Mount Sinai Medical Center, New York, New York, United States|University of North Carolina Neurosciences Hospital, Chapel Hill, North Carolina, United States|Akron Children's Hospital, Akron, Ohio, United States|Cutting Edge Research, Oklahoma City, Oklahoma, United States|Summit Research Network, Portland, Oregon, United States|Suburban Research Associates, Media, Pennsylvania, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|University of Tennessee Medical Group, LeBonheur Children's Hospital, Memphis, Tennessee, United States|Vanderbilt Kennedy Center, Nashville, Tennessee, United States|Red Oaks Psychiatry Associates, P.A., Houston, Texas, United States|Road Runner Research, San Antonio, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT01288716"
322,"NCT04655326","Probiotic Therapy for Children and Adults With Autism Spectrum Disorder",,"Recruiting","No Results Available","Autism Spectrum Disorder","Biological: Flore","Parent Global Impressions of Autism|Social Responsiveness Scale|Gastrointestinal Symptom Rating Scale","Arizona State University|Sun Genomics","All","30 Months to 75 Years   (Child, Adult, Older Adult)","Early Phase 1","1000","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00012299","October 15, 2020","October 15, 2022","March 15, 2023","December 7, 2020",,"December 7, 2020","Arizona State University, Tempe, Arizona, United States",,"https://ClinicalTrials.gov/show/NCT04655326"
323,"NCT03195244","Aquatic Therapy and Autism Spectrum Disorders","AT&ASD","Recruiting","No Results Available","Autism Spectrum Disorder","Other: Aquatic Physical Therapy","Change in PedsQL Score","Sloan W. Rush, MD|Panhandle Eye Group, LLP","All","3 Years to 17 Years   (Child)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","AT&ASD","June 12, 2017","February 12, 2023","February 12, 2023","June 22, 2017",,"March 10, 2021","Turn Center, Amarillo, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03195244"
324,"NCT04772898","Effectiveness of a 6-week Hippotherapy Program in Children With Autism Spectrum Disorder",,"Recruiting","No Results Available","Autism Spectrum Disorder","Behavioral: Hippotherapy","Social Responsiveness Scale (SRS)|Postural control, center of pressure measures (range, root mean square, sway path, sample entropy)|Coherence and Cross Sample Entropy between the movement sensors and heart rate sensors of the horse and rider|Correlation between horse temperament and therapeutic outcomes|Aberrant Behavior Checklist","Creighton University","All","5 Years to 10 Years   (Child)","Not Applicable","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","5R03HD101115-02","September 7, 2021","February 2023","February 2023","February 26, 2021",,"September 17, 2021","Hearthland Equine Therapeutic Riding Academy, Gretna, Nebraska, United States",,"https://ClinicalTrials.gov/show/NCT04772898"
325,"NCT01643720","Emotion Regulation in Preschoolers With Autism and Their Parents",,"Completed","No Results Available","Autism Spectrum Disorders",,"Emotion regulation(ER)strategies during emotion eliciting episodes|Salivary hormone levels: Cortisol and Oxytocin of both parent and child","Meir Medical Center","All","3 Years to 6 Years   (Child)",,"80","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","MMC1013010kCTIL","November 2010","May 2011","May 2011","July 18, 2012",,"April 8, 2015","Brill Mental Health Center, Tel Aviv, Israel",,"https://ClinicalTrials.gov/show/NCT01643720"
326,"NCT04440852","Randomized, Controlled Trial of an Intervention for Preschool Children With Autism: TEACCH",,"Completed","No Results Available","Autism Spectrum Disorder","Behavioral: TEACCH","Chinese Version of Psycho-educational Profile-3rd edition (CPEP-3)","Wuhan Mental Health Centre|Wuhan University","All","36 Months to 90 Months   (Child)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","KY2016(53)","January 1, 2018","December 31, 2019","March 30, 2020","June 22, 2020",,"June 22, 2020","Wuhan Mental Health Centre, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04440852"
327,"NCT01366859","Nutritional Intervention in Children With Autism Using Whey Protein (Immunocal): Impact on Core Areas of Behavior",,"Completed","No Results Available","Autism Spectrum Disorders","Dietary Supplement: Whey Protein|Dietary Supplement: Rice Protein (Placebo)","Behavioral Analysis|Safety Analysis|Intracellular Glutathione & Antioxidant Capacity","Nova Southeastern University|Immunotec Inc.","All","3 Years to 5 Years   (Child)","Phase 2","81","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)","01291001F","May 2011","October 2016","October 2016","June 6, 2011",,"November 3, 2016","Nova Southeastern University Clinic, Fort Lauderdale, Florida, United States|Nova Southeastern University, College of Pharmacy, Fort Lauderdale, Florida, United States|Mailman Segal Center, Ft. Lauderdale, Florida, United States",,"https://ClinicalTrials.gov/show/NCT01366859"
328,"NCT04987749","The Therapeutic Effects of Intermittent Theta Burst Stimulation in Autism Spectrum Disorder",,"Recruiting","No Results Available","Autism Spectrum Disorder","Device: intermittent theta burst stimulation","Changes of total scores of Social Responsiveness Scale|Changes of total scores of Repetitive Behavior Scale-Revised|Changes of total scores of Emotional Dysregulation Inventory|Changes of total scores of Adaptive Behavior Assessment System|Changes in accuracy of Frith-Happe animation|Changes in accuracy of Eyes task|Changes in accuracy of Wisconsin Card Sorting Test|Changes of total scores of Behavior Rating Inventory of Executive Function|Raven's Progressive Matrices|Autism Diagnostic Observation Schedule - Generic|MRI T1|functional MRI (resting-state/biological motion task) - BOLD signal|Diffusion Tensor Imaging (DTI) - FA|Electroencephalography","Chang Gung Memorial Hospital","All","8 Years to 30 Years   (Child, Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","201900713A0","November 5, 2019","August 2023","November 2023","August 3, 2021",,"August 3, 2021","Chang Gung Memorial Hospital, Taoyuan, Taiwan",,"https://ClinicalTrials.gov/show/NCT04987749"
